"","shim_count","shim_thickness","start_width","end_width","shape","clamp_width","clamp_thickness","nut_width","nut_thickness"
"1",2,0.1,18,10,0,8,0.4,10,10
"2",3,0.1,18,10,0,8,0.4,10,10
"3",4,0.1,18,10,0,8,0.4,10,10
"4",5,0.1,18,10,0,8,0.4,10,10
"5",6,0.1,18,10,0,8,0.4,10,10
"6",7,0.1,18,10,0,8,0.4,10,10
"7",8,0.1,18,10,0,8,0.4,10,10
"8",9,0.1,18,10,0,8,0.4,10,10
"9",10,0.1,18,10,0,8,0.4,10,10
"10",11,0.1,18,10,0,8,0.4,10,10
"11",12,0.1,18,10,0,8,0.4,10,10
"100",2,0.1,18,10,0.1,8,0.4,10,10
"101",3,0.1,18,10,0.1,8,0.4,10,10
"102",4,0.1,18,10,0.1,8,0.4,10,10
"103",5,0.1,18,10,0.1,8,0.4,10,10
"104",6,0.1,18,10,0.1,8,0.4,10,10
"105",7,0.1,18,10,0.1,8,0.4,10,10
"106",8,0.1,18,10,0.1,8,0.4,10,10
"107",9,0.1,18,10,0.1,8,0.4,10,10
"108",10,0.1,18,10,0.1,8,0.4,10,10
"109",11,0.1,18,10,0.1,8,0.4,10,10
"110",12,0.1,18,10,0.1,8,0.4,10,10
"111",2,0.1,18,11,0.1,8,0.4,10,10
"112",3,0.1,18,11,0.1,8,0.4,10,10
"113",4,0.1,18,11,0.1,8,0.4,10,10
"114",5,0.1,18,11,0.1,8,0.4,10,10
"115",6,0.1,18,11,0.1,8,0.4,10,10
"116",7,0.1,18,11,0.1,8,0.4,10,10
"117",8,0.1,18,11,0.1,8,0.4,10,10
"118",9,0.1,18,11,0.1,8,0.4,10,10
"119",10,0.1,18,11,0.1,8,0.4,10,10
"120",11,0.1,18,11,0.1,8,0.4,10,10
"121",12,0.1,18,11,0.1,8,0.4,10,10
"122",2,0.1,18,12,0.1,8,0.4,10,10
"123",3,0.1,18,12,0.1,8,0.4,10,10
"124",4,0.1,18,12,0.1,8,0.4,10,10
"125",5,0.1,18,12,0.1,8,0.4,10,10
"126",6,0.1,18,12,0.1,8,0.4,10,10
"127",7,0.1,18,12,0.1,8,0.4,10,10
"128",8,0.1,18,12,0.1,8,0.4,10,10
"129",9,0.1,18,12,0.1,8,0.4,10,10
"130",10,0.1,18,12,0.1,8,0.4,10,10
"131",11,0.1,18,12,0.1,8,0.4,10,10
"132",12,0.1,18,12,0.1,8,0.4,10,10
"133",2,0.1,18,13,0.1,8,0.4,10,10
"134",3,0.1,18,13,0.1,8,0.4,10,10
"135",4,0.1,18,13,0.1,8,0.4,10,10
"136",5,0.1,18,13,0.1,8,0.4,10,10
"137",6,0.1,18,13,0.1,8,0.4,10,10
"138",7,0.1,18,13,0.1,8,0.4,10,10
"139",8,0.1,18,13,0.1,8,0.4,10,10
"140",9,0.1,18,13,0.1,8,0.4,10,10
"141",10,0.1,18,13,0.1,8,0.4,10,10
"142",11,0.1,18,13,0.1,8,0.4,10,10
"143",12,0.1,18,13,0.1,8,0.4,10,10
"144",2,0.1,18,14,0.1,8,0.4,10,10
"145",3,0.1,18,14,0.1,8,0.4,10,10
"146",4,0.1,18,14,0.1,8,0.4,10,10
"147",5,0.1,18,14,0.1,8,0.4,10,10
"148",6,0.1,18,14,0.1,8,0.4,10,10
"149",7,0.1,18,14,0.1,8,0.4,10,10
"150",8,0.1,18,14,0.1,8,0.4,10,10
"151",9,0.1,18,14,0.1,8,0.4,10,10
"152",10,0.1,18,14,0.1,8,0.4,10,10
"153",11,0.1,18,14,0.1,8,0.4,10,10
"154",12,0.1,18,14,0.1,8,0.4,10,10
"155",2,0.1,18,15,0.1,8,0.4,10,10
"156",3,0.1,18,15,0.1,8,0.4,10,10
"157",4,0.1,18,15,0.1,8,0.4,10,10
"158",5,0.1,18,15,0.1,8,0.4,10,10
"159",6,0.1,18,15,0.1,8,0.4,10,10
"160",7,0.1,18,15,0.1,8,0.4,10,10
"161",8,0.1,18,15,0.1,8,0.4,10,10
"162",9,0.1,18,15,0.1,8,0.4,10,10
"163",10,0.1,18,15,0.1,8,0.4,10,10
"164",11,0.1,18,15,0.1,8,0.4,10,10
"165",12,0.1,18,15,0.1,8,0.4,10,10
"166",2,0.1,18,16,0.1,8,0.4,10,10
"167",3,0.1,18,16,0.1,8,0.4,10,10
"168",4,0.1,18,16,0.1,8,0.4,10,10
"169",5,0.1,18,16,0.1,8,0.4,10,10
"170",6,0.1,18,16,0.1,8,0.4,10,10
"171",7,0.1,18,16,0.1,8,0.4,10,10
"172",8,0.1,18,16,0.1,8,0.4,10,10
"173",9,0.1,18,16,0.1,8,0.4,10,10
"174",10,0.1,18,16,0.1,8,0.4,10,10
"175",11,0.1,18,16,0.1,8,0.4,10,10
"176",12,0.1,18,16,0.1,8,0.4,10,10
"177",2,0.1,18,17,0.1,8,0.4,10,10
"178",3,0.1,18,17,0.1,8,0.4,10,10
"179",4,0.1,18,17,0.1,8,0.4,10,10
"180",5,0.1,18,17,0.1,8,0.4,10,10
"181",6,0.1,18,17,0.1,8,0.4,10,10
"182",7,0.1,18,17,0.1,8,0.4,10,10
"183",8,0.1,18,17,0.1,8,0.4,10,10
"184",9,0.1,18,17,0.1,8,0.4,10,10
"185",10,0.1,18,17,0.1,8,0.4,10,10
"186",11,0.1,18,17,0.1,8,0.4,10,10
"187",12,0.1,18,17,0.1,8,0.4,10,10
"203",6,0.1,18,10,0.5,8,0.4,10,10
"204",7,0.1,18,10,0.5,8,0.4,10,10
"205",8,0.1,18,10,0.5,8,0.4,10,10
"206",9,0.1,18,10,0.5,8,0.4,10,10
"207",10,0.1,18,10,0.5,8,0.4,10,10
"208",11,0.1,18,10,0.5,8,0.4,10,10
"209",12,0.1,18,10,0.5,8,0.4,10,10
